"key","de","ar","et","it"
"THE__CAR__TRAVEL__A__PARKING_LOT__BEHIND__THE__CHURCH","Parke das Auto hinter der Kirche!","أوقف السيارة خلف الكنيسة!",,
"THE__CAR__TRAVEL__A__PARKING_LOT__BEHIND__THE__HOUSE","Parke das Auto hinter dem Haus!","أوقف السيارة خلف المنزل!",,
"ANY__CUT__ANY",,,,
"ANY__CUT__THE__FRUIT","Schneide das Obst!","اقطع الفاكهة",,
"ANY__CUT__THE__KIWI","Schneide die Kiwi!","اقطع الكيوي",,
"ANY__STORE_IN_BIG_STORAGE__THE__BUS",,,,
"ANY__TRAVEL__THE__HUT__INSIDE",,,,
"A__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__WHITE","Packe einen Rucksack in das weiße Auto!","احزم حقيبة ظهر في السيارة البيضاء!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE","Packe einen Hammer in das blaue Auto!","احزم مطرقة في السيارة الزرقاء!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK","Packe einen Hammer in das pinke Auto!","احزم مطرقة في السيارة الوردية!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__PURPLE","Packe einen Hammer in das lila Auto!","احزم مطرقة في السيارة البنفسجية!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED","Packe einen Hammer in das rote Auto!","احزم مطرقة في السيارة الحمراء!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER","Packe einen Hammer in das silberne Auto!","ضع مطرقة في السيارة الفضية!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__WHITE","Packe einen Hammer in das weiße Auto!","ضع مطرقة في السيارة البيضاء!",,
"A__HAMMER__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__HAMMER__STORE_IN_SMALL_STORAGE__THE__BACKPACK","Packe einen Hammer in den Rucksack!","ضع مطرقة في حقيبة الظهر!",,
"A__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED","Packe eine Melone in das rote Auto!","ضع بطيخة في السيارة الحمراء!",,
"A__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW","Packe eine Melone in das gelbe Auto!","ضع بطيخة في السيارة الصفراء!",,
"A__MELON__STORE_IN_SMALL_STORAGE__THE__BACKPACK","Packe eine Melone in den Rucksack!","ضع بطيخة في حقيبة الظهر!",,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLACK","Packe eine Ananas in das schwarze Auto!","ضع أناناس في السيارة السوداء!",,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__PURPLE","Packe eine Ananas in das lila Auto!","ضع أناناس في السيارة البنفسجية!",,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED","Packe eine Ananas in das rote Auto!","ضع أناناس في السيارة الحمراء!",,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__WHITE","Packe eine Ananas in das weiße Auto!","ضع أناناس في السيارة البيضاء!",,
"A__PINEAPPLE__STORE_IN_SMALL_STORAGE__THE__BACKPACK","Packe eine Ananas in den Rucksack!","ضع أناناس في حقيبة الظهر!",,
"THE__DOG__MOVE__ANY",,,,
"THE__DOG__TRAVEL__ANY",,,,
"THE__DOG__TRAVEL__THE__HUT__INSIDE","Bringe den Hund nach drinnen!","أحضر الكلب إلى الداخل!",,
"THE__FRUIT__MOVE__ANY",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__PURPLE","Packe die Frucht in das lilane Auto!","ضع الفاكهة في السيارة البنفسجية!",,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER","Packe die Frucht in das silberne Auto!","ضع الفاكهة في السيارة الفضية!",,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLACK","Packe den Hammer in das schwarze Auto!","ضع المطرقة في السيارة السوداء!",,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE","Packe den Hammer in das blaue Auto!","ضع المطرقة في السيارة الزرقاء!",,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__PURPLE","Packe den Hammer in das lilane Auto!","ضع المطرقة في السيارة الأرجوانية!",,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED","Packe den Hammer in das schwarze Auto!","ضع المطرقة في السيارة السوداء!",,
"THE__KIWI__MOVE__ANY",,,,
"THE__KNIFE__CUT__ANY","Schneide etwas!","اقطع شيئًا ما!",,
"THE__KNIFE__CUT__THE__FRUIT","Schneide die Frucht mit dem Messer!","اقطع الفاكهة بالسكين!",,
"THE__KNIFE__CUT__THE__KIWI","Schneide die Kiwi mit dem Messer!","اقطع الكيوي بالسكين!",,
"THE__KNIFE__MOVE__ANY","Bewege das Messer!","حرّك السكين!",,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__PURPLE","Packe die Melone in das lilane Auto!","ضع البطيخ في السيارة الأرجوانية!",,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__WHITE","Packe die Melone in das weiße Auto!","ضع البطيخ في السيارة البيضاء!",,
"THE__YOU__STORE_IN_BIG_STORAGE__THE__BUS","Steige in den Bus!","اركبوا الحافلة!",,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__MAN",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__MAN",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__WOMAN",,,,
"THE__GIFT__MOVE__ANY",,,,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__ANY","Schenke jemandem das Geschenk!","أعط الهدية لشخص ما!",,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__THE__MAN","Schenke das Geschenk dem Mann!","أعط الهدية للرجل!",,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__THE__WOMAN","Schenke das Geschenk der Frau!","أعط الهدية للمرأة!",,
"THE__GIFT__STORE_IN_SMALL_STORAGE__ANY","Schenke jemandem das Geschenk!","أعط الهدية لشخص ما!",,
"THE__GIFT__STORE_IN_SMALL_STORAGE__THE__MAN","Schenke das Geschenk dem Mann!","أعط الهدية للرجل!",,
"THE__GIFT__STORE_IN_SMALL_STORAGE__THE__WOMAN","Schenke das Geschenk der Frau!","أعط الهدية للمرأة!",,
"THE__MOTHER__MOVE__ANY",,,,
"THE__WOMAN__MOVE__ANY",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__CHILD",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__BOY",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__GIRL",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__CHILD",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__BOY",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__GIRL",,,,
"A__GIFT__MOVE__ANY",,,,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__ANY","Schenke jemandem das Geschenk!","أعط الهدية لشخص ما!",,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__A__CHILD","Schenke einem Kind ein Geschenk!","أعط هدية للطفل!",,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__BOY","Schenke dem Jungen ein Geschenk!","أعط هدية للولد!",,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__GIRL","Schenke dem Mädchen ein Geschenk!","أعط هدية للفتاة!",,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__MAN","Schenke dem Mann ein Geschenk!","قدم هدية للرجل!",,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__WOMAN","Schenke der Frau ein Geschenk!","أعط هدية للمرأة!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__ANY","Schenke jemandem das Geschenk!","أعط الهدية لشخص ما!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__A__CHILD",,,,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__BOY","Schenke einem Kind ein Geschenk!","أعط هدية للطفل!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__GIRL","Schenke dem Jungen ein Geschenk!","أعط هدية للولد!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__MAN","Schenke dem Mädchen ein Geschenk!","أعط هدية للفتاة!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__WOMAN","Schenke dem Mann ein Geschenk!","قدم هدية للرجل!",,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__A__CHILD","Schenke der Frau ein Geschenk!","أعط هدية للمرأة!",,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__THE__BOY","Schenke dem Jungen ein Geschenk!","أعط الهدية للفتى!",,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__THE__GIRL","Schenke das Geschenk dem Mädchen!","أعط الهدية للفتاة!",,
"THE__GIFT__STORE_IN_SMALL_STORAGE__A__CHILD",,,,
"THE__GIFT__STORE_IN_SMALL_STORAGE__THE__BOY",,,,
"THE__GIFT__STORE_IN_SMALL_STORAGE__THE__GIRL",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__BOY",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__BROTHER",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__BROTHER",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__BOY",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__BROTHER",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__BROTHER",,,,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__A__BOY",,,,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__A__BROTHER",,,,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__BROTHER","Gib dem Bruder ein Geschenk!","قدم هدية للأخ!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__A__BOY",,,,
"A__GIFT__STORE_IN_SMALL_STORAGE__A__BROTHER",,,,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__BROTHER",,,,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__A__BOY",,,,
"THE__GIFT__STORE_IN_MEDIUM_STORAGE__A__BROTHER",,,,
"THE__GIFT__STORE_IN_SMALL_STORAGE__A__BOY",,,,
"THE__GIFT__STORE_IN_SMALL_STORAGE__A__BROTHER",,,,
"THE__SISTER__MOVE__ANY",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__SISTER",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__SISTER",,,,
"A__GIFT__STORE_IN_MEDIUM_STORAGE__THE__SISTER","Gib der Schwester ein Geschenk!","أعط الأخت هدية!",,
"A__GIFT__STORE_IN_SMALL_STORAGE__THE__SISTER",,,,
"ANY__BRUSH__ANY",,,,
"ANY__BRUSH__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare bürsten.","المرأة ذات الشعر الداكن تريد تمشيط شعرها.",,
"ANY__BRUSH__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"ANY__BRUSH__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"ANY__DRIES__ANY",,,,
"ANY__DRIES__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte die Haare trocknen.","المرأة ذات الشعر الداكن تريد تجفيف شعرها.",,
"ANY__DRIES__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte die Haare trocknen.","المرأة الشقراء تريد تجفيف شعرها.",,
"ANY__DRIES__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte die Haare trocknen.","المرأة السمراء تريد تجفيف شعرها.",,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__COUPLE","Geben Sie dem Paar etwas.","أعطِ الزوجين شيئاً.",,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__TODDLER","Geben Sie dem Kleinkind etwas.","أعطِ الطفل شيئاً ما.",,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__COUPLE","Gib dem Paar etwas.","أعطِ الزوجين شيئاً.",,
"ANY__STORE_IN_SMALL_STORAGE__THE__TODDLER","Geben Sie dem Kleinkind etwas.","أعط الطفل شيئاً ما.",,
"ANY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_BRUSH__BRUSH__ANY",,,,
"THE__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare bürsten.","المرأة ذات الشعر الداكن تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare bürsten.","المرأة الشقراء تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__MOVE__ANY",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare bürsten.","المرأة ذات الشعر الداكن تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare bürsten.","المرأة الشقراء تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare bürsten.","المرأة ذات الشعر الداكن تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare bürsten.","المرأة الشقراء تريد تمشيط شعرها.",,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"THE__TOY__DRIES__ANY",,,,
"THE__TOY__DRIES__THE__WOMAN_HAIR_BLACK",,,,
"THE__TOY__DRIES__THE__WOMAN_HAIR_BLONDE",,,,
"THE__TOY__DRIES__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__TOY__MOVE__ANY",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__THE__TODDLER",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__THE__TODDLER",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__WEDDING_RINGS__MOVE__ANY",,,,
"THE__WEDDING_RINGS__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__WEDDING_RINGS__STORE_IN_MEDIUM_STORAGE__THE__COUPLE","Gib dem Paar den Ehering!","Gib dem Paar den Ehering!",,
"THE__WEDDING_RINGS__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__WEDDING_RINGS__STORE_IN_SMALL_STORAGE__THE__COUPLE",,,,
"THE__WEDDING_RING__MOVE__ANY",,,,
"THE__WEDDING_RING__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__WEDDING_RING__STORE_IN_MEDIUM_STORAGE__THE__COUPLE",,,,
"THE__WEDDING_RING__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__WEDDING_RING__STORE_IN_SMALL_STORAGE__THE__COUPLE",,,,
"ANY__BRUSH__A__WOMAN",,,,
"ANY__BRUSH__A__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare bürsten.","المرأة ذات الشعر الداكن تريد تمشيط شعرها.",,
"ANY__BRUSH__A__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare bürsten.","المرأة الشقراء تريد تمشيط شعرها.",,
"ANY__BRUSH__A__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare bürsten.","المرأة السمراء تريد تمشيط شعرها.",,
"ANY__DRY__ANY",,,,
"ANY__DRY__A__WOMAN",,,,
"ANY__DRY__A__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare trocknen.","المرأة ذات الشعر الداكن تريد تجفيف شعرها.",,
"ANY__DRY__A__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare trocknen.","المرأة الشقراء تريد تجفيف شعرها.",,
"ANY__DRY__A__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare trocknen.","المرأة السمراء تريد تجفيف شعرها.",,
"ANY__DRY__THE__WOMAN_HAIR_BLACK","Die dunkelhaarige Frau möchte sich die Haare trocknen.","المرأة ذات الشعر الداكن تريد تجفيف شعرها.",,
"ANY__DRY__THE__WOMAN_HAIR_BLONDE","Die blonde Frau möchte sich die Haare trocknen.","المرأة الشقراء تريد تجفيف شعرها.",,
"ANY__DRY__THE__WOMAN_HAIR_BRUNETTE","Die brünette Frau möchte sich die Haare trocknen.","المرأة السمراء تريد تجفيف شعرها.",,
"ANY__FEED__ANY",,,,
"ANY__FEED__A__CAT",,,,
"ANY__FEED__A__CAT__BLACK_WHITE",,,,
"ANY__FEED__A__CAT__BROWN",,,,
"ANY__FEED__A__CAT__GRAY",,,,
"ANY__FEED__A__CAT__SECONDARY_BLUE",,,,
"ANY__FEED__A__CAT__SECONDARY_BROWN",,,,
"ANY__FEED__A__CAT__SECONDARY_GREEN",,,,
"ANY__FEED__A__CAT__SECONDARY_YELLOW",,,,
"ANY__FEED__A__CAT__WHITE",,,,
"ANY__FEED__THE__CAT","Füttere die Katze!","أطعم القط!",,
"ANY__FEED__THE__CAT__BLACK_WHITE","Füttere die schwarz-weiße Katze!","أطعم القط الأسود والأبيض!",,
"ANY__FEED__THE__CAT__BROWN","Füttere die braune Katze!","أطعم القط الأسمر!",,
"ANY__FEED__THE__CAT__GRAY","Füttere die graue Katze!","أطعم القط الرمادي!",,
"ANY__FEED__THE__CAT__SECONDARY_BLUE","Füttere die Katze mit den blauen Augen!","أطعم القطة ذات العيون الزرقاء!",,
"ANY__FEED__THE__CAT__SECONDARY_BROWN","Füttere die Katze mit den braunen Augen!","أطعم القطة ذات العيون البنية!",,
"ANY__FEED__THE__CAT__SECONDARY_GREEN","Füttere die Katze mit den grünen Augen!","أطعم القطة ذات العيون الخضراء!",,
"ANY__FEED__THE__CAT__SECONDARY_YELLOW","Füttere die Katze mit den gelben Augen!","أطعم القطة ذات العيون الصفراء!",,
"ANY__FEED__THE__CAT__WHITE","Füttere die weiße Katze!","أطعم القط الأبيض",,
"ANY__HANG__ANY",,,,
"ANY__HANG__THE__CLOTHES_LINE","Hänge etwas auf!","علّق بعض الملابس!",,
"ANY__HANG__THE__COAT_RACK","Hänge etwas an den Kleiderständer!","علّق شيئًا على رف المعاطف!",,
"ANY__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"A__CAP__HANG__ANY","Häng die Mütze auf!",,,
"A__CAP__HANG__THE__COAT_RACK","Häng die Mütze an die Garderobe!",,,
"A__CAP__MOVE__ANY",,,,
"A__CAT_FOOD__FEED__ANY",,,,
"A__CAT_FOOD__FEED__A__CAT",,,,
"A__CAT_FOOD__FEED__A__CAT__BLACK_WHITE",,,,
"A__CAT_FOOD__FEED__A__CAT__BROWN",,,,
"A__CAT_FOOD__FEED__A__CAT__GRAY",,,,
"A__CAT_FOOD__FEED__A__CAT__SECONDARY_BLUE",,,,
"A__CAT_FOOD__FEED__A__CAT__SECONDARY_BROWN",,,,
"A__CAT_FOOD__FEED__A__CAT__SECONDARY_GREEN",,,,
"A__CAT_FOOD__FEED__A__CAT__SECONDARY_YELLOW",,,,
"A__CAT_FOOD__FEED__A__CAT__WHITE",,,,
"A__CAT_FOOD__FEED__THE__CAT__BLACK_WHITE",,,,
"A__CAT_FOOD__FEED__THE__CAT__BROWN",,,,
"A__CAT_FOOD__FEED__THE__CAT__GRAY",,,,
"A__CAT_FOOD__FEED__THE__CAT__SECONDARY_BLUE","Füttere die Katze mit den blauen Augen!","أطعم القطة ذات العيون الزرقاء!",,
"A__CAT_FOOD__FEED__THE__CAT__SECONDARY_BROWN","Füttere die Katze mit den braunen Augen!","أطعم القطة ذات العيون البنية!",,
"A__CAT_FOOD__FEED__THE__CAT__SECONDARY_GREEN","Füttere die Katze mit den grünen Augen!","أطعم القطة ذات العيون الخضراء!",,
"A__CAT_FOOD__FEED__THE__CAT__SECONDARY_YELLOW","Füttere die Katze mit den gelben Augen!","أطعم القطة ذات العيون الصفراء!",,
"A__CAT_FOOD__FEED__THE__CAT__WHITE","Füttere die weiße Katze!","أطعم القطة البيضاء!",,
"A__CAT_FOOD__MOVE__ANY",,,,
"A__COAT__HANG__ANY","Hänge einen Mantel auf!","علّق معطفاً!",,
"A__COAT__HANG__THE__COAT_RACK",,,,
"A__COAT__MOVE__ANY",,,,
"A__COMB__BRUSH__ANY",,,,
"A__COMB__BRUSH__A__WOMAN",,,,
"A__COMB__BRUSH__A__WOMAN_HAIR_BRUNETTE",,,,
"A__COMB__BRUSH__THE__WOMAN_HAIR_BLACK",,,,
"A__COMB__BRUSH__THE__WOMAN_HAIR_BLONDE",,,,
"A__COMB__BRUSH__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__COMB__MOVE__ANY",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__COMB__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__COMB__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
